StartTime,Status,Distance
14:00,PDG,13
15:00,P,13
11:00,AA,13
11:00,AA,13
09:00,P,13
14:00,P,13
13:00,P,13
09:00,P,13
15:00,AA,13
11:00,AA,13
15:00,P,13
11:00,P,13
13:00,PWR,13
15:00,ABS,13
13:00,ABS,13
14:00,ABS,13
13:00,P,13
11:00,ABS,13
10:00,PWR,13
15:00,P,13
10:00,P,13
15:00,P,13
10:00,P,13
15:00,P,13
11:00,P,13
13:00,P,13
14:00,P,13
09:00,P,13
13:00,P,13
14:00,P,13
13:00,P,13
11:00,P,13
15:00,ABS,13
15:00,P,13
10:00,P,13
09:00,ABS,13
13:00,P,13
14:00,P,13
09:00,ABS,13
13:00,P,13
13:00,ABS,13
09:00,ABS,13
14:00,P,13
10:00,ABS,13
13:00,P,13
11:00,P,13
15:00,ABS,13
15:00,P,13
10:00,ABS,13
09:00,ABS,13
14:00,ABS,13
13:00,ABS,13
14:00,ABS,13
15:00,ABS,13
11:00,P,13
11:00,ABS,13
11:00,ABS,13
15:00,ABS,13
11:00,ABS,13
15:00,ABS,13
11:00,P,13
15:00,P,13
15:00,P,13
13:00,ABS,13
10:00,P,13
13:00,ABS,13
13:00,ABS,13
10:00,ABS,13
14:00,P,13
13:00,P,13
09:00,P,13
10:00,P,13
15:00,P,13
13:00,ABS,13
09:00,P,13
11:00,P,13
10:00,ABS,13
15:00,P,13
14:00,P,13
13:00,P,13
11:00,P,13
15:00,ABS,13
11:00,ABS,13
11:00,AA,13
13:00,AA,13
10:00,P,13
15:00,P,13
10:00,NM,13
15:00,CC,13
11:00,P,13
11:00,P,13
15:00,P,13
13:00,ABS,13
09:00,P,13
14:00,P,13
09:00,ABS,13
13:00,P,13
11:00,ABS,13
09:00,P,13
15:00,P,13
15:00,P,13
11:00,P,13
09:00,P,13
14:00,AA,13
09:00,AA,13
11:00,ABS,13
15:00,P,13
09:00,ABS,13
15:00,P,13
09:00,P,13
15:00,P,13
09:00,P,13
15:00,P,13
11:00,AA,13
09:00,ABS,13
15:00,P,13
11:00,AA,13
15:00,P,13
15:00,P,13
09:00,P,13
15:00,ABS,13
09:00,P,13
11:00,ABS,13
15:00,P,13
11:00,P,13
09:00,P,13
15:00,P,13
15:00,P,13
11:00,P,13
09:00,P,13
15:00,ABS,13
15:00,P,13
11:00,ABS,13
09:00,ABS,13
11:00,AA,13
09:00,P,13
15:00,ABS,13
15:00,P,13
15:00,P,13
09:00,ABS,13
09:00,P,13
09:00,AA,13
15:00,P,13
15:00,P,13
09:00,P,13
09:00,AA,13
15:00,AA,13
09:00,AA,13
09:00,P,13
11:00,P,1
09:00,P,1
09:00,ABS,1
09:00,P,1
11:00,P,1
15:00,P,1
15:00,P,1
15:00,P,1
15:00,P,1
15:00,AA,1
11:00,P,1
11:00,P,1
12:00,P,1
09:00,P,1
15:00,P,1
13:00,ABS,1
13:00,P,1
11:00,P,1
15:00,P,1
13:00,P,1
13:00,P,1
09:00,ABS,1
12:00,P,1
15:00,P,1
11:00,ABS,1
15:00,P,1
12:00,P,1
15:00,P,1
09:00,ABS,1
11:00,P,1
15:00,P,1
12:00,P,1
11:00,P,1
15:00,P,1
13:00,P,1
13:00,P,1
15:00,ABS,4
09:00,ABS,4
12:00,P,4
15:00,PWR,4
15:00,ABS,4
13:00,ABS,4
09:00,ABS,4
15:00,P,4
11:00,P,4
15:00,PDG,4
12:00,P,4
12:00,ABS,4
09:00,P,4
15:00,ABS,4
09:00,P,4
15:00,P,4
11:00,P,4
09:00,P,4
12:00,P,4
12:00,ABS,4
09:00,ABS,4
12:00,P,4
15:00,PDG,4
11:00,P,4
13:00,P,4
15:00,P,4
12:00,P,4
09:00,P,4
09:00,P,4
12:00,P,4
09:00,PDG,4
13:00,P,4
11:00,PWR,4
11:00,ABS,4
15:00,P,4
15:00,ABS,4
13:00,ABS,4
11:00,P,4
11:00,P,4
13:00,P,4
11:00,P,4
09:00,ABS,4
15:00,P,4
11:00,ABS,4
13:00,ABS,4
09:00,ABS,4
15:00,ABS,4
11:00,ABS,4
09:00,ABS,4
11:00,ABS,4
11:00,ABS,4
11:00,P,4
13:00,P,4
11:00,ABS,4
09:00,ABS,4
11:00,ABS,4
15:00,P,4
15:00,P,4
15:00,P,4
11:00,ABS,4
13:00,ABS,4
13:00,P,4
09:00,ABS,4
15:00,ABS,4
13:00,ABS,4
11:00,P,3
11:00,P,3
15:00,P,3
11:00,ABS,3
15:00,ABS,3
11:00,P,3
13:00,ABS,3
09:00,P,3
15:00,P,3
09:00,P,3
15:00,P,3
15:00,ABS,3
13:00,ABS,3
11:00,ABS,3
13:00,P,3
13:00,P,3
11:00,P,3
15:00,P,3
09:00,P,3
11:00,P,3
09:00,P,3
13:00,P,3
11:00,ABS,3
11:00,P,3
11:00,P,3
15:00,P,3
15:00,P,3
15:00,P,3
09:00,P,3
15:00,P,3
15:00,P,3
15:00,P,3
11:00,P,3
11:00,P,3
11:00,P,3
11:00,P,3
11:00,P,3
13:00,P,3
11:00,P,3
09:00,P,3
16:00,AA,3
13:00,AA,3
15:00,AA,3
09:00,AA,3
10:00,P,3
09:00,P,3
09:00,P,3
11:00,P,3
16:00,P,3
10:00,P,3
11:00,P,3
09:00,P,3
10:00,P,3
10:00,P,3
11:00,P,3
13:00,P,3
13:00,P,3
15:00,P,3
10:00,P,3
13:00,P,3
16:00,P,3
16:00,P,3
15:00,P,3
09:00,P,3
15:00,P,3
15:00,P,3
09:00,P,3
13:00,P,3
09:00,P,3
10:00,P,3
09:00,P,3
10:00,P,3
10:00,P,3
09:00,P,3
09:00,P,3
10:00,P,3
09:00,P,3
09:00,P,3
10:00,P,3
15:00,P,3
13:00,ABS,9
16:00,ABS,9
09:00,AA,9
11:00,P,9
09:00,ABS,9
15:00,P,9
13:00,ABS,9
10:00,ABS,9
09:00,ARC,9
10:00,ARC,9
09:00,ABS,9
09:00,ABS,9
15:00,ABS,9
10:00,ABS,9
10:00,ABS,9
15:00,ABS,9
09:00,P,9
11:00,ABS,9
09:00,ABS,9
09:00,ABS,9
09:00,ABS,9
15:00,ABS,9
16:00,P,3
11:00,ABS,3
13:00,P,3
16:00,P,3
09:00,P,3
10:00,AA,3
09:00,AA,3
11:00,P,3
09:00,AA,3
15:00,P,3
10:00,P,3
09:00,P,3
11:00,P,3
09:00,ABS,3
10:00,ABS,3
09:00,P,3
10:00,P,3
10:00,P,3
16:00,P,3
13:00,P,3
16:00,P,3
13:00,P,3
16:00,P,3
15:00,ABS,3
13:00,ABS,3
11:00,P,3
09:00,P,3
15:00,AA,3
10:00,AA,3
09:00,P,3
11:00,P,3
10:00,P,3
16:00,P,3
09:00,ABS,3
09:00,P,3
13:00,AA,3
13:00,P,3
10:00,P,3
09:00,AA,3
10:00,AA,3
09:00,P,3
10:00,P,3
10:00,ABS,3
09:00,P,3
15:00,P,3
13:00,AA,3
16:00,P,3
09:00,ABS,3
09:00,ABS,3
13:00,ABS,3
13:00,ABS,3
13:00,P,3
11:00,ABS,3
09:00,P,3
11:00,P,3
13:00,P,3
11:00,ABS,3
11:00,ABS,3
16:00,P,3
16:00,P,3
11:00,P,3
11:00,P,3
16:00,ABS,3
09:00,ABS,3
11:00,ABS,3
09:00,ABS,3
13:00,P,3
11:00,ABS,3
11:00,ABS,3
13:00,ABS,3
11:00,ABS,3
13:00,AA,3
11:00,AA,3
09:00,AA,3
16:00,P,3
09:00,ABS,3
11:00,P,3
11:00,ABS,3
16:00,ABS,3
13:00,ABS,3
09:00,AA,3
11:00,AA,3
16:00,P,3
11:00,P,3
09:00,ABS,3
11:00,ABS,3
11:00,ABS,3
13:00,ABS,3
09:00,P,3
11:00,P,3
16:00,P,3
11:00,P,3
09:00,P,3
13:00,P,3
11:00,P,3
11:00,P,3
16:00,P,3
13:00,P,3
11:00,P,3
11:00,P,3
11:00,P,3
09:00,P,3
16:00,P,3
13:00,P,3
11:00,P,3
11:00,P,3
16:00,P,3
09:00,PWR,3
11:00,PWR,3
09:00,P,3
11:00,P,3
11:00,P,3
09:00,P,3
11:00,P,3
11:00,P,3
16:00,ABS,3
13:00,P,3
13:00,P,3
11:00,ABS,3
16:00,P,3
13:00,P,3
11:00,P,3
11:00,P,3
16:00,P,3
11:00,P,3
10:00,P,3
10:00,P,3
11:00,P,3
11:00,P,3
15:00,P,3
11:00,P,3
11:00,P,3
15:00,P,3
16:00,P,3
10:00,P,3
10:00,P,3
16:00,P,3
15:00,P,3
11:00,P,3
11:00,P,3
11:00,P,3
15:00,P,3
15:00,P,3
16:00,P,3
10:00,P,3
11:00,P,3
16:00,P,3
10:00,P,3
13:00,P,3
15:00,P,3
15:00,P,3
11:00,P,3
11:00,P,3
10:00,P,3
15:00,P,3
11:00,P,3
11:00,P,3
16:00,P,3
11:00,P,3
16:00,P,3
15:00,P,18
13:00,P,18
15:00,ABS,18
13:00,P,18
11:00,P,18
10:00,P,18
11:00,P,18
11:00,P,18
11:00,P,18
11:00,P,18
10:00,P,18
10:00,P,18
15:00,P,18
15:00,P,18
